,Unnamed: 0,video,predictions,true,pred_type,obs
150,150.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/Hooligans_violence__Torcida_do_Flamengo_x_PM_na_Final_da_Copa_do_Brasil__craigrj__kK_1_resized_blur.mp4,0.0,1.0,false_negative,crowd
171,171.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__rowdy_crowd_at_Football_game__andyisalive__RWnAoJdeXsE_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
130,130.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/stadium_crowds__Rutgers_tackles_traffic__tvjersey__j623HU58M8U_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
202,202.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/balcony_football_violence__British_Football_Hooligans_Mix_3__MorningGlory1997__kW23lUV6oFk_1_resized_blur.mp4,0.0,1.0,false_negative,other
166,166.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/stadium_crowds__Yankee_Stadium_wave_5_2_08__NYlightning__g_CJ1A636kg_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
188,188.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/stadium_crowds__2008_Penn_State_Football_Crowd_Pump_Up_Video__rmcmillen50__rQB1R_0_resized_blur.mp4,1.0,0.0,false_positive,low_quality
83,83.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__K_State_fans_chant_WE_OWN_TEXAS__rockCHOKE21__YVr3IdD6rpY_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
213,213.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds__Poldi_Odonkor_und_Asamoah_singen_in_Berlin__indra1974__4TkcO2r0q_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
132,132.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds__Giants_of_Brazil_5_of_6__anandaliyanage__5tw2pojykz8_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
201,201.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_violence__Football_Hooligans_Watford_v_Luton_2002_Version_1__MorningGlory1997__vLOTaR9eMlg_1_resized_blur.mp4,0.0,1.0,false_negative,crowd
36,36.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds__Love_is_in_the_air_DUFC_cup_final_Hampden_2010__tattoosyke__Afp7_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
75,75.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds__Brisbane_Lions_vs_Melbourne_Demons_The_Gabba__StudyinBrisbane__Y_0_resized_blur.mp4,1.0,0.0,false_positive,other
106,106.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/stadium_crowds__Did_Lady_GaGa_throw_a_tantrum__unknownsince1983__0Vkz-_rVYB8_0_resized_blur.mp4,1.0,0.0,false_positive,other
71,71.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__Totally_Stupid_Footballers_Series_1_Episode_5_An_Ending_With_A_H_0_resized_blur.mp4,1.0,0.0,false_positive,other
29,29.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__Penn_State_Crowd__mam1042__-yp5n8JJ-zA_0_resized_blur.mp4,1.0,0.0,false_positive,other
179,179.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__Cheering_in_the_dawg_pack_as_game_gets_under_way__hometownkid__p_0_resized_blur.mp4,1.0,0.0,false_positive,other
18,18.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__mu_beats_ku_victory_celebration__brennanhobart__q7ANQ6HCRIU_0_resized_blur.mp4,1.0,0.0,false_positive,other
101,101.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds__Maracana_Football_Crowd_Atmosphere__thetravelmap__xfi3rvFKIPU_0_resized_blur.mp4,1.0,0.0,false_positive,other
76,76.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds__Anglia_News_Sport_Soccer_Football_FIFA_South_Africa_World_Cup_2010_The_Vuvuzela__anglianewseast__3JrtWmyk-Do_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
91,91.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds__2008_Penn_State_Football_Crowd_Pump_Up_Video__rmcmillen50__rQB1R_0_resized_blur.mp4,1.0,0.0,false_positive,other
